GSM50777	GSM50778	GSM50779	GSM50780	GSM50781	GSM50782	GSM50783	GSM50784	pvalues	adj.pvalues
BIRC3	5.3	6.7	5.5	7.9	111.4	149.2	135.7	89.8	3.94795240758014e-05	0.0184251195906838
DHRS7	148.3	162.8	154.3	180.9	217.6	226.1	218.4	211.4	0.000126950707933124	0.0362672131394077
CD47	224.8	237.3	227.7	246.3	502.9	643.1	532.8	704	8.89098636107032e-05	0.0304796690898046
CXCL11	30	29.6	26	26.1	70.5	74.7	60.8	55.2	8.34100909032431e-05	0.0290410477437026
CXCL8	53.8	81.8	112.6	58.4	1263.7	1271.6	1569.4	905.8	4.14734398302194e-05	0.0184830531947356
PLAU	38.1	110.9	85.9	100.6	292.4	324.7	250.4	224.8	0.000168415724124909	0.0436372974497135
IFNGR1	63.1	93.7	85.1	85.3	160.3	133.4	175.5	171.1	0.000193276598958079	0.0478531383842541
ACKR3	227.1	142.6	148.2	132.7	1518.1	1440.1	1167.6	1641.7	3.75896094371245e-06	0.00523505791929654
PGRMC2	135.1	131.2	131.4	126.4	82.2	90.5	81.5	82.8	1.20474821826932e-06	0.0029828227275217
TRIM22	406.8	413.2	384.7	417.7	520.9	572.7	571.7	639.8	0.000203496229714337	0.0484248680314981
F2RL1	595.4	575.5	605.1	548.7	911.7	1102.2	1120.6	1160.9	3.99792443983435e-05	0.0184251195906838
SAT1	111.5	182.4	136.9	161.3	313.3	423.8	370.2	386.3	5.92633004889512e-05	0.0218657525434463
NR2F2	150.7	193.7	187.1	136.3	69.7	71.8	66.5	59.6	0.000151815805741476	0.0402727571349678
SAMD4A	25.5	28.6	28.7	31.2	76.9	79.5	93.2	94	5.52285846873346e-06	0.00683699195882154
JAG1	192.9	160.5	256.1	258.4	884.9	1202.5	1062.1	1173.9	6.84560468248515e-06	0.00694609085527607
CCL2	726.6	356.6	351.9	262.3	3688.2	3996.6	4066.8	5139.7	6.6889175790274e-06	0.00694609085527607
CAB39	349.8	342.7	316.7	377.7	632.6	772.1	717.6	835.1	3.70118481235166e-05	0.0183400345388636
FAM129A	22.9	20.6	24.8	22.4	55.2	51.2	49.1	51.6	2.42710638134912e-06	0.00385732840230796
RNF7	176.7	166.4	180.7	189	118.2	114.7	125.7	92.4	9.85749441286115e-05	0.0327842608957888
C8orf4	41.6	24.6	29.2	22.6	74.6	74.9	76.5	75.4	1.53277628028835e-05	0.0123056174580128
LARP6	47.2	43.6	37.2	39.4	70.5	74.6	70	67.1	2.75989644256692e-05	0.0164479868262129
PALMD	272.3	350.3	312.1	326.8	160.7	133.3	121.1	124.5	2.02748948203612e-05	0.0133842775588675
IFIH1	1.5	2	2.2	2.5	38.3	47	34.3	50.8	1.76497235304907e-05	0.0123056174580128
EBI3	2.3	1.6	2.4	1.4	38	51.9	41.6	61.4	4.9353041253156e-05	0.019293575758668
FAT4	106.9	106.1	93.2	103.5	39.2	38	29.2	34.2	6.79284783912316e-07	0.00189206285498977
THSD1P1///THSD1	98.3	88.2	95.6	91.1	52.3	30.2	37.9	16.4	0.000108652791587153	0.0340938791303638
PSTPIP2	50.1	40.2	46.5	40.6	72.8	86.8	96.1	95.3	0.00014209056067879	0.0390889378222899
SLC2A6	49.2	27.7	41.1	56.2	119.5	152.5	152.7	185.6	0.000116844896405606	0.0347630789856268
NECAP2	335.5	301.8	300.6	349.6	427.5	489.5	472.5	443.8	0.000117005381857111	0.0347630789856268
SLC25A32	239.7	235.3	233.8	223.1	313	375.8	345.7	313.7	0.000198182681593692	0.0484248680314981
GINS2	83.1	91.4	76.1	83.1	35.6	45.7	36.3	49.8	4.92907808487132e-05	0.019293575758668
CYLD	42.8	38.4	41.6	34.8	121.1	122.5	123.3	133.7	6.18249448887073e-08	0.000459215082318355
ISG20	38.9	34.7	50.3	39.5	111.2	99.9	134.7	114.3	2.87874831136878e-05	0.0164479868262129
CX3CL1	31.6	25.9	27.7	26.2	568.2	778.7	610.5	698.2	2.13538980769797e-06	0.00366022239114876
