SRR057629	SRR057630	SRR057632	SRR057649	SRR057650	SRR057651
ENSG00000004846	1	0	1	0	1	1
ENSG00000004848	18	8	28	0	5	11
ENSG00000004864	129	94	162	68	88	91
ENSG00000004866	67	82	151	59	82	86
ENSG00000004897	182	91	175	164	86	104
ENSG00000004939	0	3	0	1	0	1
ENSG00000004948	2	0	0	1	0	0
ENSG00000004961	36	37	58	41	34	43
ENSG00000004975	213	88	187	140	107	109
ENSG00000005001	73	62	139	78	79	85
ENSG00000005007	621	341	741	394	391	407
ENSG00000005020	85	132	132	81	103	49
ENSG00000005022	398	345	543	264	378	327
ENSG00000005059	23	25	17	31	29	16
ENSG00000005073	58	20	38	53	20	26
ENSG00000005075	54	19	52	27	36	33
ENSG00000005100	112	85	173	106	64	90
ENSG00000005102	27	11	6	22	17	19
ENSG00000005108	43	283	171	52	91	25
ENSG00000005156	219	203	299	120	175	108
ENSG00000005175	105	57	87	65	43	38
ENSG00000005187	75	20	615	57	35	403
ENSG00000005189	39	9	60	43	21	32
ENSG00000005194	69	67	106	68	72	74
ENSG00000005206	285	168	466	211	187	240
ENSG00000005238	124	111	165	75	100	93
ENSG00000005243	96	22	52	67	51	30
ENSG00000005249	88	78	86	77	98	60
ENSG00000005302	101	106	134	90	71	102
ENSG00000005339	652	363	643	516	377	286
ENSG00000005379	330	203	381	240	230	228
ENSG00000005381	3	1	0	4	1	1
ENSG00000005421	12	1	0	1	0	0
ENSG00000005436	122	86	116	58	50	61
ENSG00000005448	43	57	38	20	45	22
ENSG00000005469	304	160	210	155	179	128
ENSG00000005471	2	6	3	8	4	5
ENSG00000005483	592	341	517	442	337	273
ENSG00000005486	360	229	429	245	231	218
ENSG00000005513	3	1	20	6	3	14
ENSG00000005700	312	255	420	166	193	186
ENSG00000005801	68	71	166	53	68	100
ENSG00000005810	620	259	345	259	213	171
ENSG00000005812	279	239	305	197	200	153
ENSG00000005844	37	76	79	72	73	79
ENSG00000005882	128	57	96	82	53	63
ENSG00000005884	407	146	324	401	248	195
ENSG00000005889	351	181	285	175	156	122
ENSG00000005893	1017	624	980	474	618	545
ENSG00000005955	259	201	330	232	234	194
ENSG00000005961	4	2	3	5	4	6
ENSG00000005981	0	0	1	2	2	1
ENSG00000006007	353	332	435	250	277	239
ENSG00000006015	78	60	129	63	61	61
ENSG00000006016	8	10	7	9	7	12
ENSG00000006025	136	71	179	122	102	122
ENSG00000006042	360	314	302	224	290	157
ENSG00000006047	4	1	3	6	4	7
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	68	33	57	77	68	39
ENSG00000006071	23	49	40	10	35	11
ENSG00000006074	2	9	4	6	16	10
ENSG00000006075	1	7	3	2	4	3
ENSG00000006114	334	239	461	201	207	230
ENSG00000006116	0	0	0	0	0	1
ENSG00000006118	55	97	224	48	80	179
ENSG00000006125	746	543	739	628	553	414
ENSG00000006128	0	33	10	2	28	4
ENSG00000006194	161	94	180	125	115	109
ENSG00000006210	266	169	182	388	295	106
ENSG00000006282	486	257	623	263	302	337
ENSG00000006283	36	17	19	12	15	18
ENSG00000006327	51	49	43	105	72	22
ENSG00000006377	2	4	8	1	0	2
ENSG00000006432	83	91	92	56	69	48
ENSG00000006451	118	87	108	87	86	68
ENSG00000006453	295	185	325	142	183	193
ENSG00000006459	129	159	172	110	102	107
ENSG00000006468	79	47	40	124	46	21
ENSG00000006530	106	97	119	92	81	85
ENSG00000006534	23	14	46	18	25	23
ENSG00000006555	64	19	85	51	37	52
ENSG00000006576	74	62	67	80	46	38
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	177	176	204	138	127	91
ENSG00000006611	1	0	0	0	0	1
ENSG00000006625	100	95	177	71	104	138
ENSG00000006634	25	9	36	9	17	22
ENSG00000006638	4	1	2	9	3	1
ENSG00000006652	218	281	222	145	216	152
ENSG00000006659	0	1	0	0	0	0
ENSG00000006695	47	24	47	47	29	19
ENSG00000006704	150	63	116	106	78	71
ENSG00000006712	277	243	392	206	247	257
ENSG00000006715	338	188	323	214	213	186
ENSG00000006740	97	61	83	95	69	51
ENSG00000006744	244	117	345	211	148	203
ENSG00000006747	46	23	45	18	29	26
ENSG00000006756	448	514	742	179	415	322
ENSG00000006757	64	46	118	42	63	72
ENSG00000006788	1	1	0	1	0	0
ENSG00000006831	304	238	395	192	232	245
ENSG00000006837	4	0	8	1	1	1
ENSG00000007001	1	1	1	0	1	0
ENSG00000007038	8	0	33	3	2	30
ENSG00000007047	176	90	153	109	97	51
ENSG00000007062	22	25	12	52	25	9
ENSG00000007080	101	52	104	71	53	72
ENSG00000007129	2	2	2	5	4	2
ENSG00000007168	644	367	539	524	392	303
ENSG00000007171	5	3	1	4	6	1
ENSG00000007174	10	8	6	5	3	5
ENSG00000007202	1005	722	1193	660	672	631
ENSG00000007216	1	0	0	0	0	0
ENSG00000007237	127	69	58	219	96	42
ENSG00000007255	65	44	89	43	51	66
ENSG00000007264	3	2	8	9	5	5
ENSG00000007306	0	0	2	0	0	0
ENSG00000007312	6	8	9	25	25	10
ENSG00000007314	16	1	1	7	8	1
ENSG00000007341	44	41	87	29	35	32
ENSG00000007350	0	0	1	0	1	1
ENSG00000007372	6	6	11	3	5	3
ENSG00000007376	40	9	73	29	14	44
ENSG00000007384	310	218	323	217	193	215
ENSG00000007392	368	154	425	309	216	269
ENSG00000007402	76	49	175	33	45	69
ENSG00000007516	61	203	178	44	167	91
ENSG00000007520	72	42	80	50	43	54
ENSG00000007541	200	85	246	124	91	108
ENSG00000007545	154	100	170	95	97	122
ENSG00000007866	343	177	266	343	208	159
ENSG00000007908	40	85	46	37	155	10
ENSG00000007923	118	112	207	126	96	101
ENSG00000007933	0	7	5	2	5	5
ENSG00000007944	198	91	179	259	121	117
ENSG00000007952	4	4	3	3	7	5
ENSG00000007968	1	1	5	6	2	2
ENSG00000008018	312	295	470	302	308	272
ENSG00000008056	10	2	3	3	6	3
ENSG00000008083	127	38	123	93	54	69
ENSG00000008086	5	18	8	1	6	3
ENSG00000008118	13	0	7	16	6	9
ENSG00000008128	43	18	38	15	21	17
ENSG00000008130	293	176	364	155	195	186
ENSG00000008196	0	0	0	0	1	1
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	35	34	20	21	41	12
ENSG00000008256	141	154	278	184	146	100
ENSG00000008277	189	93	105	151	76	69
ENSG00000008282	512	298	419	418	376	205
ENSG00000008283	869	677	1058	321	576	653
ENSG00000008294	335	206	286	314	174	149
ENSG00000008300	19	7	74	18	11	33
ENSG00000008311	118	57	97	86	53	50
ENSG00000008323	23	10	18	19	15	13
ENSG00000008324	83	110	123	41	78	57
ENSG00000008382	68	51	60	36	53	55
ENSG00000008394	280	300	540	106	220	300
ENSG00000008405	127	52	111	90	68	65
ENSG00000008438	0	4	4	0	0	0
ENSG00000008441	1735	994	1004	1244	1041	609
ENSG00000008513	100	83	131	154	111	58
ENSG00000008516	8	13	13	8	12	10
ENSG00000008517	72	84	69	108	80	75
ENSG00000008710	593	238	500	642	350	259
ENSG00000008735	40	54	19	14	33	11
ENSG00000008838	310	168	383	250	193	198
ENSG00000008853	85	28	72	100	54	51
ENSG00000008869	302	214	362	158	172	177
ENSG00000008952	763	775	2844	563	636	1143
ENSG00000008988	791	951	759	846	1011	945
ENSG00000009307	2725	1680	2649	2365	1858	1495
ENSG00000009335	380	300	442	303	295	221
ENSG00000009413	191	85	125	157	83	84
ENSG00000009694	90	46	29	29	27	29
ENSG00000009709	0	0	0	0	0	0
ENSG00000009724	25	19	39	29	21	29
ENSG00000009765	13	5	0	0	1	0
ENSG00000009780	79	41	61	64	48	42
ENSG00000009790	39	41	50	61	49	62
ENSG00000009830	107	73	129	105	66	87
ENSG00000009844	146	95	138	83	90	65
ENSG00000009950	12	5	14	12	9	6
ENSG00000009954	529	289	626	402	323	381
ENSG00000010017	307	129	303	181	148	167
ENSG00000010030	5	15	1	10	10	12
ENSG00000010072	26	33	53	33	27	28
ENSG00000010165	141	85	152	112	94	74
ENSG00000010219	73	46	83	57	64	67
ENSG00000010244	599	495	830	422	455	432
ENSG00000010256	389	280	518	269	288	333
ENSG00000010270	228	226	219	87	240	97
ENSG00000010278	1832	1381	2527	723	1299	1101
ENSG00000010282	2	0	1	0	0	0
ENSG00000010292	135	87	227	147	91	120
ENSG00000010295	59	24	39	97	49	51
ENSG00000010310	39	13	25	50	26	26
ENSG00000010318	37	15	61	30	19	31
ENSG00000010319	28	6	22	35	20	11
ENSG00000010322	1422	602	1420	1026	669	838
ENSG00000010327	247	163	261	446	192	170
ENSG00000010361	53	25	59	43	33	47
ENSG00000010379	2	3	1	2	0	3
ENSG00000010404	451	356	370	501	349	227
ENSG00000010438	0	0	0	3	0	0
ENSG00000010539	27	20	46	19	26	32
ENSG00000010610	85	99	94	125	99	66
ENSG00000010626	34	18	19	18	25	17
ENSG00000010671	17	23	13	18	28	11
ENSG00000010704	67	17	109	62	25	37
ENSG00000010803	325	257	437	268	246	219
ENSG00000010810	38	49	56	75	55	45
ENSG00000010818	173	273	169	185	209	99
ENSG00000010932	2	1	3	7	4	2
ENSG00000011007	234	174	334	160	178	167
ENSG00000011009	80	72	165	48	72	92
ENSG00000011021	236	149	252	175	133	152
ENSG00000011028	386	162	233	504	258	180
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	0	0	0	0	3
ENSG00000011105	421	298	521	245	274	304
ENSG00000011114	180	124	219	137	121	101
ENSG00000011132	60	31	82	36	26	47
ENSG00000011143	59	39	89	40	56	42
ENSG00000011198	46	43	49	45	34	34
ENSG00000011201	68	72	67	31	62	30
ENSG00000011243	273	212	452	206	214	226
ENSG00000011258	149	104	108	93	75	62
ENSG00000011260	66	69	62	56	79	38
ENSG00000011275	264	130	229	265	172	107
ENSG00000011295	315	242	385	197	237	218
ENSG00000011304	626	473	866	485	467	447
ENSG00000011332	7	7	8	2	4	3
ENSG00000011347	1689	1216	886	436	948	595
ENSG00000011376	146	50	196	105	70	90
ENSG00000011405	398	277	397	220	141	182
ENSG00000011422	30	56	25	34	57	19
ENSG00000011426	9	4	6	7	7	2
ENSG00000011451	180	92	247	143	107	116
ENSG00000011454	493	327	542	395	325	293
ENSG00000011465	1508	383	687	2035	587	418
ENSG00000011478	58	36	112	32	46	59
ENSG00000011485	224	140	250	119	133	123
ENSG00000011523	156	61	84	170	77	68
ENSG00000011566	188	194	255	173	169	122
ENSG00000011590	4	7	6	3	10	3
ENSG00000011600	42	74	43	86	75	54
ENSG00000011638	150	75	157	106	99	81
ENSG00000011677	4	0	0	8	3	0
ENSG00000012048	10	11	21	10	9	10
ENSG00000012061	190	101	228	137	116	135
ENSG00000012124	7	21	21	22	26	20
ENSG00000012171	209	37	108	235	94	64
ENSG00000012174	152	70	120	95	78	62
ENSG00000012211	38	23	39	29	29	17
ENSG00000012223	404	1225	2162	4732	4240	3560
ENSG00000012232	238	108	144	225	105	74
ENSG00000012504	1	2	2	0	0	0
ENSG00000012660	1348	1460	3853	622	1106	887
ENSG00000012779	75	302	104	110	189	59
ENSG00000012817	482	329	488	405	339	282
ENSG00000012822	648	318	703	639	454	454
ENSG00000012963	149	94	179	116	97	105
ENSG00000012983	219	168	220	220	155	139
ENSG00000013016	82	90	98	68	82	70
ENSG00000013275	291	179	370	221	181	193
ENSG00000013288	422	319	684	239	319	373
ENSG00000013293	1	1	0	1	0	0
ENSG00000013297	27	32	41	36	34	25
ENSG00000013306	327	170	535	200	188	349
ENSG00000013364	360	202	234	427	265	196
ENSG00000013374	272	229	279	249	241	209
ENSG00000013375	776	563	1051	219	397	530
ENSG00000013392	250	133	328	91	141	188
ENSG00000013441	633	527	705	557	523	402
ENSG00000013503	81	22	76	49	35	51
ENSG00000013523	132	85	199	108	90	129
ENSG00000013561	251	119	247	141	153	127
ENSG00000013563	85	72	121	55	59	61
ENSG00000013573	84	14	140	50	25	111
ENSG00000013583	156	113	156	102	141	106
ENSG00000013588	89	252	150	278	255	104
ENSG00000013619	40	9	21	41	29	15
ENSG00000013725	13	32	30	20	27	20
ENSG00000013810	10	10	26	19	26	26
ENSG00000014123	292	199	378	176	149	158
ENSG00000014138	63	28	45	55	30	35
ENSG00000014164	84	62	75	54	52	35
ENSG00000014216	804	409	724	576	438	411
ENSG00000014257	45002	6154	52213	9138	8513	27737
ENSG00000014641	405	224	405	266	276	288
ENSG00000014824	454	283	466	260	293	232
ENSG00000014914	78	36	37	100	56	34
ENSG00000014919	195	116	235	149	142	120
ENSG00000015133	259	319	501	164	294	235
ENSG00000015153	54	46	60	50	50	43
ENSG00000015171	652	433	670	507	394	366
ENSG00000015285	15	27	22	38	31	28
ENSG00000015413	3	2	1	6	6	2
ENSG00000015475	78	34	73	35	48	49
ENSG00000015479	981	874	1288	866	761	726
ENSG00000015520	3	0	2	2	1	4
ENSG00000015532	157	119	284	108	116	142
ENSG00000015568	100	62	100	48	49	53
ENSG00000015592	1	1	1	0	0	1
ENSG00000015676	533	321	503	378	303	271
ENSG00000016082	62	16	34	65	20	21
ENSG00000016391	203	95	216	96	104	139
ENSG00000016402	82	163	193	83	107	90
ENSG00000016490	0	0	0	0	0	0
ENSG00000016602	14	1	4	10	3	3
ENSG00000016864	225	209	376	177	188	200
ENSG00000017260	1622	1442	1954	701	1153	841
ENSG00000017373	22	32	55	11	32	21
ENSG00000017427	443	64	397	261	123	76
ENSG00000017483	16	4	10	11	16	7
ENSG00000017621	27	25	44	21	25	21
ENSG00000017797	402	173	367	260	198	215
ENSG00000018189	171	94	137	143	112	77
ENSG00000018236	306	58	143	259	122	76
ENSG00000018280	12	16	16	20	17	14
ENSG00000018408	404	204	274	395	263	174
ENSG00000018510	91	50	123	107	54	52
ENSG00000018607	0	1	0	1	0	1
ENSG00000018610	68	50	62	51	42	46
ENSG00000018625	289	45	178	199	190	126
ENSG00000018699	62	62	74	61	41	51
ENSG00000018869	13	15	36	12	17	19
ENSG00000019102	248	23	156	118	46	127
ENSG00000019144	428	252	266	605	275	226
ENSG00000019169	1	6	1	8	5	1
ENSG00000019186	27	51	12	63	72	17
ENSG00000019485	46	22	28	26	15	14
ENSG00000019505	41	95	27	15	58	20
ENSG00000019549	71	12	30	46	20	8
ENSG00000019582	1803	3931	2367	2880	3447	2561
ENSG00000019991	40	31	43	78	35	16
ENSG00000019995	268	156	258	203	174	143
ENSG00000020129	169	87	243	93	97	142
ENSG00000020181	944	215	446	925	434	308
ENSG00000020219	0	0	0	0	0	1
ENSG00000020256	66	54	78	39	49	36
ENSG00000020426	34	38	58	34	45	29
ENSG00000020577	217	135	121	305	130	59
ENSG00000020633	18	46	40	29	32	29
ENSG00000020922	45	29	33	30	17	20
ENSG00000021300	68	196	184	43	150	93
ENSG00000021355	71	67	70	125	107	36
ENSG00000021461	8	3	2	3	0	1
ENSG00000021488	6	6	3	2	3	5
ENSG00000021574	83	56	100	67	59	45
ENSG00000021645	49	8	25	70	19	12
ENSG00000021762	197	162	215	120	161	138
ENSG00000021776	182	137	235	113	112	105
ENSG00000021826	8	4	3	15	5	3
ENSG00000021852	0	0	0	0	0	0
ENSG00000022267	1424	280	557	2407	1112	235
ENSG00000022277	219	154	275	193	174	167
ENSG00000022355	4	0	0	0	0	0
ENSG00000022556	37	0	211	46	1	103
ENSG00000022567	176	120	173	134	127	108
ENSG00000022840	741	518	1002	509	546	580
ENSG00000022976	100	41	110	53	60	78
ENSG00000023041	148	145	231	111	140	138
ENSG00000023171	38	8	25	21	14	13
ENSG00000023191	474	264	584	406	300	361
ENSG00000023228	482	279	521	305	300	259
ENSG00000023287	299	325	268	197	159	125
ENSG00000023318	300	258	605	237	206	346
ENSG00000023330	198	103	223	162	130	102
ENSG00000023445	66	184	97	114	93	89
ENSG00000023516	229	236	269	186	158	100
ENSG00000023572	60	28	53	24	31	39
ENSG00000023608	37	15	34	28	22	16
ENSG00000023697	48	40	45	73	51	49
ENSG00000023734	218	254	272	198	221	167
ENSG00000023839	5	5	5	4	0	4
ENSG00000023892	113	67	107	70	80	100
ENSG00000023902	127	74	126	155	102	96
ENSG00000023909	69	52	48	59	51	19
ENSG00000024048	296	272	297	193	179	184
ENSG00000024422	347	110	207	454	240	127
ENSG00000024526	11	4	4	3	13	4
ENSG00000024862	95	55	110	66	67	89
ENSG00000025039	120	120	190	72	106	80
ENSG00000025156	57	43	73	67	43	38
ENSG00000025293	206	148	197	170	123	104
ENSG00000025423	222	25	78	268	70	36
ENSG00000025434	91	79	116	67	85	84
ENSG00000025708	56	118	83	104	134	71
ENSG00000025770	97	61	116	75	82	78
ENSG00000025772	88	63	125	88	65	91
ENSG00000025796	581	403	698	333	344	436
ENSG00000025800	470	288	401	341	292	190
ENSG00000026025	1067	703	684	1494	1038	563
ENSG00000026036	24	23	43	25	17	20
ENSG00000026103	88	175	95	90	167	49
ENSG00000026297	169	90	198	147	166	147
ENSG00000026508	676	434	657	985	517	510
ENSG00000026559	41	21	14	39	52	7
ENSG00000026652	50	27	48	68	52	28
ENSG00000026751	17	50	29	32	33	22
ENSG00000026950	187	135	151	168	145	137
ENSG00000027001	64	166	138	54	278	156
ENSG00000027075	198	241	252	115	143	107
ENSG00000027644	20	3	4	3	0	3
ENSG00000027697	235	292	487	253	269	283
ENSG00000027847	128	48	183	73	70	88
ENSG00000027869	5	10	12	14	9	5
ENSG00000028116	52	42	54	39	44	26
ENSG00000028137	67	86	69	92	81	54
ENSG00000028203	258	193	250	194	181	118
ENSG00000028277	45	29	23	39	39	24
ENSG00000028310	156	184	233	130	164	126
ENSG00000028528	730	458	829	625	487	519
ENSG00000028839	61	64	110	46	46	56
ENSG00000029153	14	10	9	35	11	4
ENSG00000029363	639	599	822	471	495	402
ENSG00000029364	474	471	803	218	412	298
ENSG00000029534	8	15	3	17	10	6
ENSG00000029559	0	0	10	0	2	2
ENSG00000029639	19	25	29	15	18	27
ENSG00000029725	549	360	774	376	300	409
ENSG00000029993	93	41	66	51	48	57
ENSG00000030066	207	125	205	164	127	85
ENSG00000030110	26	35	39	20	34	30
ENSG00000030304	0	0	0	0	0	0
ENSG00000030419	68	134	101	46	81	24
ENSG00000030582	884	424	1539	546	526	846
ENSG00000031003	329	155	290	324	182	135
ENSG00000031081	59	58	69	68	71	28
ENSG00000031544	11	10	5	6	3	2
ENSG00000031691	11	9	15	7	7	8
ENSG00000031698	413	257	559	380	325	310
ENSG00000031823	296	172	307	195	188	220
ENSG00000032219	111	106	125	103	73	60
ENSG00000032389	64	33	97	49	29	46
ENSG00000032444	198	121	255	180	138	110
ENSG00000032742	72	62	65	39	43	42
ENSG00000033011	30	25	48	32	26	33
ENSG00000033030	99	82	132	97	78	71
ENSG00000033050	130	93	188	117	93	110
ENSG00000033100	195	144	461	185	164	194
ENSG00000033122	11	163	53	7	65	10
ENSG00000033170	52	76	68	71	65	35
ENSG00000033178	209	235	290	135	142	160
ENSG00000033327	127	65	106	158	80	48
ENSG00000033627	455	261	359	217	252	189
ENSG00000033800	186	86	166	130	75	76
ENSG00000033867	121	148	134	133	70	83
ENSG00000034053	36	70	74	38	47	33
ENSG00000034063	10	8	9	6	3	10
ENSG00000034152	125	111	157	103	139	77
ENSG00000034239	18	10	4	3	12	2
ENSG00000034510	422	467	582	570	450	490
ENSG00000034533	29	20	47	18	18	25
ENSG00000034677	245	493	289	235	330	121
ENSG00000034693	88	41	87	55	50	35
ENSG00000034713	370	295	407	272	266	222
ENSG00000034971	11	2	5	54	5	1
ENSG00000035115	262	389	494	212	328	256
ENSG00000035141	157	94	208	110	104	143
ENSG00000035403	1374	529	840	1702	1001	524
ENSG00000035499	3	2	4	1	2	2
ENSG00000035664	98	48	81	127	59	37
ENSG00000035681	199	283	292	158	250	148
ENSG00000035687	154	162	234	122	147	121
ENSG00000035720	2	1	3	1	3	2
ENSG00000035862	1492	644	804	2117	1101	607
ENSG00000035928	257	157	312	206	187	171
ENSG00000036054	149	111	162	132	88	95
ENSG00000036257	340	277	404	257	271	207
ENSG00000036448	17	8	9	16	14	8
ENSG00000036473	0	1	0	0	6	0
ENSG00000036530	15	9	21	3	8	9
ENSG00000036549	185	156	223	149	113	121
ENSG00000036565	3	5	2	1	4	0
ENSG00000036672	7	5	6	18	17	5
ENSG00000036828	2	0	0	0	0	0
ENSG00000037042	138	47	121	154	93	81
ENSG00000037241	25	16	22	35	20	23
ENSG00000037280	46	21	32	52	34	28
ENSG00000037474	298	338	340	206	262	195
ENSG00000037637	244	149	327	164	136	170
ENSG00000037749	117	98	173	88	84	60
ENSG00000037757	90	38	138	69	44	79
ENSG00000037897	20	30	65	25	26	42
ENSG00000037965	0	0	2	1	0	0
ENSG00000038002	96	85	139	46	80	59
ENSG00000038210	127	118	178	86	119	89
ENSG00000038219	206	133	244	170	150	173
ENSG00000038274	303	116	216	259	166	145
ENSG00000038295	14	9	12	11	6	8
ENSG00000038358	217	162	306	176	141	145
ENSG00000038382	447	444	535	362	368	269
ENSG00000038427	418	179	96	447	158	48
ENSG00000038532	193	132	258	145	114	140
ENSG00000038945	41	89	23	56	86	26
ENSG00000039068	2152	1570	4113	1089	1459	1841
ENSG00000039123	290	115	164	208	116	115
ENSG00000039139	18	123	108	4	60	73
ENSG00000039319	225	239	283	141	147	104
ENSG00000039523	225	167	292	200	197	165
ENSG00000039537	1	0	4	0	1	0
ENSG00000039560	173	639	143	238	411	51
ENSG00000039600	3	2	5	0	0	0
ENSG00000039650	103	155	306	88	140	139
ENSG00000039987	2	0	0	0	1	1
ENSG00000040199	61	73	76	47	56	40
ENSG00000040275	20	13	31	24	14	13
ENSG00000040341	113	182	163	85	153	82
ENSG00000040487	50	23	63	41	31	23
ENSG00000040531	121	72	122	94	97	75
ENSG00000040608	13	4	6	2	8	6
ENSG00000040633	141	84	165	82	79	133
ENSG00000040731	26	221	28	21	107	10
ENSG00000040933	148	136	138	142	143	66
ENSG00000041353	466	309	453	177	173	218
ENSG00000041357	422	297	433	233	324	340
ENSG00000041515	5	1	6	1	7	1
ENSG00000041802	183	111	145	136	148	85
ENSG00000041880	90	41	80	84	63	61
ENSG00000041982	1164	484	450	1110	850	413
ENSG00000041988	39	19	28	25	21	25
ENSG00000042062	14	10	24	9	14	16
ENSG00000042088	53	38	80	45	57	45
ENSG00000042286	63	20	49	63	38	38
ENSG00000042304	0	1	0	0	1	0
ENSG00000042317	31	36	62	26	48	33
ENSG00000042429	113	80	132	90	104	65
ENSG00000042445	537	286	412	265	240	231
ENSG00000042493	238	86	74	179	144	60
ENSG00000042753	188	104	171	126	113	132
ENSG00000042781	0	1	1	0	1	1
ENSG00000042813	0	0	1	1	0	0
ENSG00000042832	25	4	19	14	6	18
ENSG00000042980	121	60	42	135	69	28
ENSG00000043039	14	27	40	17	17	22
ENSG00000043093	104	106	142	97	96	78
ENSG00000043143	244	178	301	293	156	141
ENSG00000043355	0	5	33	0	5	18
ENSG00000043462	47	87	66	62	81	60
ENSG00000043514	116	85	126	83	82	103
ENSG00000043591	84	69	172	10	48	89
ENSG00000044012	0	0	0	1	0	0
ENSG00000044090	347	273	460	229	255	229
ENSG00000044115	1286	879	1378	1008	961	723
ENSG00000044446	336	255	353	207	240	182
ENSG00000044459	36	67	69	35	57	24
ENSG00000044524	263	174	223	262	163	108
ENSG00000044574	2426	1827	5578	1809	1773	2705
ENSG00000046604	564	366	810	226	282	281
ENSG00000046647	55	38	79	43	37	67
ENSG00000046651	122	88	209	83	85	136
ENSG00000046653	130	51	85	147	65	51
ENSG00000046774	1	0	0	0	0	0
ENSG00000046889	55	25	24	73	30	13
ENSG00000047056	159	138	275	123	118	149
ENSG00000047188	206	170	239	138	121	126
ENSG00000047230	164	112	151	110	106	106
ENSG00000047249	275	222	177	176	198	103
ENSG00000047315	439	285	551	356	313	298
ENSG00000047346	271	302	360	173	211	143
ENSG00000047365	34	51	54	46	32	32
ENSG00000047410	581	430	635	423	312	394
ENSG00000047457	47	185	125	315	197	93
ENSG00000047578	308	192	359	173	208	175
ENSG00000047579	51	27	77	52	23	58
ENSG00000047597	27	29	11	11	7	8
ENSG00000047617	3	6	18	3	4	1
ENSG00000047621	70	56	105	51	53	64
ENSG00000047634	109	66	90	99	53	44
ENSG00000047644	291	192	215	272	200	146
ENSG00000047648	628	317	603	328	268	355
ENSG00000047662	2	2	2	4	1	1
ENSG00000047849	1168	477	817	1109	659	468
ENSG00000047932	207	139	262	184	133	125
ENSG00000047936	0	0	5	0	1	1
ENSG00000048028	161	94	166	135	101	95
ENSG00000048052	118	215	45	149	130	27
ENSG00000048140	122	115	146	73	100	82
ENSG00000048162	31	28	48	23	17	39
ENSG00000048342	102	66	81	84	68	41
ENSG00000048392	166	342	169	121	225	80
ENSG00000048405	95	92	108	76	74	38
ENSG00000048462	1	3	2	1	3	5
ENSG00000048471	126	66	116	96	86	61
ENSG00000048540	77	20	26	63	35	15
ENSG00000048544	84	52	98	67	64	62
ENSG00000048545	1	0	0	0	0	0
ENSG00000048649	227	159	240	180	134	123
ENSG00000048707	534	385	500	477	441	318
ENSG00000048740	190	126	123	210	129	66
ENSG00000048828	809	618	1106	554	623	571
